upi_id,message,reason,reporter,timestamp
verify@paypal,Messaging 2 new messages AX-iPaytm Approve your automatic payment for Netflix Com: Enter UPI PIN to complete setup. Details: https: Ilmp-y.tm/UPImandates Paytm Freshverse Foods Private L_ has requested money on Paytm App. On approving; Rs.706.82 will be debited from your account: http:Ilmp-y.tm/UPIpas REPLY VIA SMS MARK AS READ Paytm 29m Automatic Payment Request Expiry! Hurry up! Paytm 29m Automatic Payment of Netflix Com Approve your automatic payment for Netflix Com: Enter yo_ your,"suspicious id, liekly scam

",anonymous,2025-07-09T16:36:08.584223
verify@paypal,Messaging 2 new messages AX-iPaytm Approve your automatic payment for Netflix Com: Enter UPI PIN to complete setup. Details: https: Ilmp-y.tm/UPImandates Paytm Freshverse Foods Private L_ has requested money on Paytm App. On approving; Rs.706.82 will be debited from your account: http:Ilmp-y.tm/UPIpas REPLY VIA SMS MARK AS READ Paytm 29m Automatic Payment Request Expiry! Hurry up! Paytm 29m Automatic Payment of Netflix Com Approve your automatic payment for Netflix Com: Enter yo_ your,,anonymous,2025-07-09T16:45:36.223918
